
[TRAIN] Epoch: 1, Accuracy: 0.4729923420287481, Error: 0.5270076579712519, Loss: 1.5832725276358859, Time elapsed: 0:05:05
[TEST] Epoch: 1, Accuracy: 0.6853488014751076, Error: 0.31465119852489243, Loss: 0.9007647640513143, Time elapsed: 0:00:59

[TRAIN] Epoch: 2, Accuracy: 0.7300189742959717, Error: 0.26998102570402827, Loss: 0.8079443107818778, Time elapsed: 0:05:09
[TEST] Epoch: 2, Accuracy: 0.7957129686539643, Error: 0.20428703134603565, Loss: 0.6120273567227843, Time elapsed: 0:00:59

[TRAIN] Epoch: 3, Accuracy: 0.7985175478111307, Error: 0.20148245218886932, Loss: 0.6217987850243938, Time elapsed: 0:05:05
[TEST] Epoch: 3, Accuracy: 0.8361247695144438, Error: 0.16387523048555624, Loss: 0.4988063192470131, Time elapsed: 0:01:04

[TRAIN] Epoch: 4, Accuracy: 0.8340772895422963, Error: 0.1659227104577037, Loss: 0.5216063186523248, Time elapsed: 0:05:08
[TEST] Epoch: 4, Accuracy: 0.8819145666871543, Error: 0.11808543331284573, Loss: 0.3879053748745675, Time elapsed: 0:01:02

[TRAIN] Epoch: 5, Accuracy: 0.8530379349413708, Error: 0.14696206505862922, Loss: 0.4671585917032865, Time elapsed: 0:05:05
[TEST] Epoch: 5, Accuracy: 0.8829133374308543, Error: 0.11708666256914567, Loss: 0.370810544043871, Time elapsed: 0:01:00

[TRAIN] Epoch: 6, Accuracy: 0.8642450550800606, Error: 0.1357549449199394, Loss: 0.43370621088180644, Time elapsed: 0:05:05
[TEST] Epoch: 6, Accuracy: 0.9045789797172711, Error: 0.09542102028272895, Loss: 0.31395489904289975, Time elapsed: 0:00:59

[TRAIN] Epoch: 7, Accuracy: 0.8734864927583712, Error: 0.1265135072416288, Loss: 0.4035402001651318, Time elapsed: 0:05:06
[TEST] Epoch: 7, Accuracy: 0.9020436385986478, Error: 0.09795636140135218, Loss: 0.3236980085623506, Time elapsed: 0:01:00

[TRAIN] Epoch: 8, Accuracy: 0.8825368224197006, Error: 0.11746317758029949, Loss: 0.37746214960125135, Time elapsed: 0:05:03
[TEST] Epoch: 8, Accuracy: 0.9135679164105716, Error: 0.0864320835894284, Loss: 0.29378106977650925, Time elapsed: 0:00:59

[TRAIN] Epoch: 9, Accuracy: 0.8884748215187627, Error: 0.11152517848123729, Loss: 0.3643614075800183, Time elapsed: 0:05:05
[TEST] Epoch: 9, Accuracy: 0.9159496004917025, Error: 0.08405039950829749, Loss: 0.28394058313777126, Time elapsed: 0:01:00

[TRAIN] Epoch: 10, Accuracy: 0.8923788852942381, Error: 0.10762111470576191, Loss: 0.3485220625862543, Time elapsed: 0:05:04
[TEST] Epoch: 10, Accuracy: 0.917639827904118, Error: 0.08236017209588199, Loss: 0.27960599956149035, Time elapsed: 0:01:00
Time Elapsed: 1:01:01, average time per epoch: 0:05:05
