
[TRAIN] Epoch: 1, Accuracy: 0.17040009828412303, Error: 0.8295999017158769, Loss: 2.328392588008652, Time elapsed: 0:07:43
[TEST] Epoch: 1, Accuracy: 0.2219960049170252, Error: 0.7780039950829748, Loss: 2.241289159895528, Time elapsed: 0:02:01

[TRAIN] Epoch: 2, Accuracy: 0.4482302032570266, Error: 0.5517697967429733, Loss: 1.5819062729983306, Time elapsed: 0:07:43
[TEST] Epoch: 2, Accuracy: 0.6813153042409342, Error: 0.3186846957590658, Loss: 1.0044623390618612, Time elapsed: 0:02:01

[TRAIN] Epoch: 3, Accuracy: 0.7775502682337524, Error: 0.2224497317662476, Loss: 0.6916019953880387, Time elapsed: 0:07:42
[TEST] Epoch: 3, Accuracy: 0.675860479409957, Error: 0.32413952059004303, Loss: 1.0172376143250936, Time elapsed: 0:02:01

[TRAIN] Epoch: 4, Accuracy: 0.8447383867753252, Error: 0.15526161322467477, Loss: 0.49286393462201566, Time elapsed: 0:07:42
[TEST] Epoch: 4, Accuracy: 0.8678933620159803, Error: 0.13210663798401967, Loss: 0.42693029046425, Time elapsed: 0:02:01

[TRAIN] Epoch: 5, Accuracy: 0.8735683961942203, Error: 0.12643160380577964, Loss: 0.40510739066993395, Time elapsed: 0:07:41
[TEST] Epoch: 5, Accuracy: 0.8805316533497234, Error: 0.11946834665027659, Loss: 0.3870372245226745, Time elapsed: 0:02:00

[TRAIN] Epoch: 6, Accuracy: 0.8939760022932962, Error: 0.1060239977067038, Loss: 0.34931466323043797, Time elapsed: 0:07:41
[TEST] Epoch: 6, Accuracy: 0.9115703749231715, Error: 0.08842962507682851, Loss: 0.30080475760297537, Time elapsed: 0:02:00

[TRAIN] Epoch: 7, Accuracy: 0.9043367869282116, Error: 0.09566321307178836, Loss: 0.31694422568506764, Time elapsed: 0:07:41
[TEST] Epoch: 7, Accuracy: 0.9012369391518131, Error: 0.09876306084818685, Loss: 0.3335483064296865, Time elapsed: 0:02:00

[TRAIN] Epoch: 8, Accuracy: 0.911899204171615, Error: 0.088100795828385, Loss: 0.2933880041958306, Time elapsed: 0:07:41
[TEST] Epoch: 8, Accuracy: 0.9232483097725875, Error: 0.07675169022741242, Loss: 0.26403049052164607, Time elapsed: 0:02:00

[TRAIN] Epoch: 9, Accuracy: 0.9206628718074723, Error: 0.07933712819252768, Loss: 0.269668213746985, Time elapsed: 0:07:41
[TEST] Epoch: 9, Accuracy: 0.9203672403196066, Error: 0.07963275968039336, Loss: 0.2760129508315674, Time elapsed: 0:02:00

[TRAIN] Epoch: 10, Accuracy: 0.925959293992383, Error: 0.07404070600761702, Loss: 0.25185294649585915, Time elapsed: 0:07:41
[TEST] Epoch: 10, Accuracy: 0.9256299938537185, Error: 0.0743700061462815, Loss: 0.2575467247573158, Time elapsed: 0:02:00

[TRAIN] Epoch: 11, Accuracy: 0.9300954175027643, Error: 0.06990458249723576, Loss: 0.23757681931759717, Time elapsed: 0:07:41
[TEST] Epoch: 11, Accuracy: 0.9275122925629994, Error: 0.07248770743700061, Loss: 0.25147638664556266, Time elapsed: 0:02:00

[TRAIN] Epoch: 12, Accuracy: 0.9334671089452202, Error: 0.06653289105477975, Loss: 0.22623109789068252, Time elapsed: 0:07:41
[TEST] Epoch: 12, Accuracy: 0.932198832206515, Error: 0.06780116779348494, Loss: 0.24054110389072322, Time elapsed: 0:02:00

[TRAIN] Epoch: 13, Accuracy: 0.9377943404725828, Error: 0.062205659527417176, Loss: 0.21565172268833627, Time elapsed: 0:07:41
[TEST] Epoch: 13, Accuracy: 0.9405347264904733, Error: 0.05946527350952674, Loss: 0.21177830905656397, Time elapsed: 0:02:00

[TRAIN] Epoch: 14, Accuracy: 0.9399101792320188, Error: 0.060089820767981215, Loss: 0.20778518768945387, Time elapsed: 0:07:41
[TEST] Epoch: 14, Accuracy: 0.9350414874001229, Error: 0.06495851259987707, Loss: 0.22692762834112118, Time elapsed: 0:02:00

[TRAIN] Epoch: 15, Accuracy: 0.9426675949056063, Error: 0.05733240509439371, Loss: 0.19894788713597472, Time elapsed: 0:07:41
[TEST] Epoch: 15, Accuracy: 0.9407652120467117, Error: 0.05923478795328826, Loss: 0.20964196571632623, Time elapsed: 0:02:00

[TRAIN] Epoch: 16, Accuracy: 0.9468037184159875, Error: 0.05319628158401245, Loss: 0.18510876632363907, Time elapsed: 0:07:41
[TEST] Epoch: 16, Accuracy: 0.9378073140749846, Error: 0.06219268592501537, Loss: 0.2259207913937126, Time elapsed: 0:02:00

[TRAIN] Epoch: 17, Accuracy: 0.9478548125093847, Error: 0.05214518749061523, Loss: 0.18000159329341564, Time elapsed: 0:07:41
[TEST] Epoch: 17, Accuracy: 0.9340811309157959, Error: 0.06591886908420405, Loss: 0.2313868395375121, Time elapsed: 0:02:00

[TRAIN] Epoch: 18, Accuracy: 0.9515541176952373, Error: 0.04844588230476268, Loss: 0.16951253572860156, Time elapsed: 0:07:41
[TEST] Epoch: 18, Accuracy: 0.9467578365089121, Error: 0.053242163491087895, Loss: 0.19414166760869603, Time elapsed: 0:02:00

[TRAIN] Epoch: 19, Accuracy: 0.952222995754672, Error: 0.04777700424532809, Loss: 0.16474892923868456, Time elapsed: 0:07:41
[TEST] Epoch: 19, Accuracy: 0.9479870928088506, Error: 0.05201290719114936, Loss: 0.20124130364056372, Time elapsed: 0:02:00

[TRAIN] Epoch: 20, Accuracy: 0.9542842322235418, Error: 0.04571576777645822, Loss: 0.15910329249337973, Time elapsed: 0:07:41
[TEST] Epoch: 20, Accuracy: 0.943838352796558, Error: 0.05616164720344192, Loss: 0.20977981544266322, Time elapsed: 0:02:00

[TRAIN] Epoch: 21, Accuracy: 0.9560451560942982, Error: 0.04395484390570185, Loss: 0.15352556831124897, Time elapsed: 0:07:41
[TEST] Epoch: 21, Accuracy: 0.9450291948371236, Error: 0.05497080516287646, Loss: 0.20348758040741316, Time elapsed: 0:02:00

[TRAIN] Epoch: 22, Accuracy: 0.9585432108876968, Error: 0.04145678911230326, Loss: 0.14474640052217877, Time elapsed: 0:07:41
[TEST] Epoch: 22, Accuracy: 0.943300553165335, Error: 0.056699446834665025, Loss: 0.20847959396530677, Time elapsed: 0:02:00

[TRAIN] Epoch: 23, Accuracy: 0.9587889211952442, Error: 0.04121107880475586, Loss: 0.14046574116078833, Time elapsed: 0:07:41
[TEST] Epoch: 23, Accuracy: 0.9445682237246465, Error: 0.05543177627535341, Loss: 0.20955739372032658, Time elapsed: 0:02:00

[TRAIN] Epoch: 24, Accuracy: 0.9612187231254351, Error: 0.03878127687456489, Loss: 0.13590912668397953, Time elapsed: 0:07:41
[TEST] Epoch: 24, Accuracy: 0.9468346650276582, Error: 0.053165334972341736, Loss: 0.2032377441821834, Time elapsed: 0:02:00

[TRAIN] Epoch: 25, Accuracy: 0.9625974309622288, Error: 0.03740256903777114, Loss: 0.12973729067667145, Time elapsed: 0:07:41
[TEST] Epoch: 25, Accuracy: 0.9435694529809465, Error: 0.05643054701905347, Loss: 0.21995300587584948, Time elapsed: 0:02:00

[TRAIN] Epoch: 26, Accuracy: 0.963252658449022, Error: 0.036747341550978065, Loss: 0.1272440517750499, Time elapsed: 0:07:41
[TEST] Epoch: 26, Accuracy: 0.938460356484327, Error: 0.061539643515673016, Loss: 0.23399434489161966, Time elapsed: 0:02:00

[TRAIN] Epoch: 27, Accuracy: 0.9658189661056281, Error: 0.03418103389437187, Loss: 0.11928119596728988, Time elapsed: 0:07:41
[TEST] Epoch: 27, Accuracy: 0.9460279655808236, Error: 0.0539720344191764, Loss: 0.21371719457286958, Time elapsed: 0:02:00

[TRAIN] Epoch: 28, Accuracy: 0.9662830855754398, Error: 0.03371691442456011, Loss: 0.11553835690313204, Time elapsed: 0:07:41
[TEST] Epoch: 28, Accuracy: 0.9462968653964352, Error: 0.053703134603564844, Loss: 0.2182656051871523, Time elapsed: 0:02:00

[TRAIN] Epoch: 29, Accuracy: 0.967279577378271, Error: 0.03272042262172898, Loss: 0.1108653552628132, Time elapsed: 0:07:41
[TEST] Epoch: 29, Accuracy: 0.9487169637369391, Error: 0.05128303626306085, Loss: 0.208010403781708, Time elapsed: 0:02:00

[TRAIN] Epoch: 30, Accuracy: 0.969395416137707, Error: 0.030604583862293023, Loss: 0.10577938382419477, Time elapsed: 0:07:41
[TEST] Epoch: 30, Accuracy: 0.9472956361401352, Error: 0.05270436385986478, Loss: 0.21343860486276178, Time elapsed: 0:02:00

[TRAIN] Epoch: 31, Accuracy: 0.9701325470603491, Error: 0.029867452939650818, Loss: 0.1006114596951875, Time elapsed: 0:07:41
[TEST] Epoch: 31, Accuracy: 0.9497157344806392, Error: 0.050284265519360785, Loss: 0.21403705301684842, Time elapsed: 0:02:00

[TRAIN] Epoch: 32, Accuracy: 0.9715795077603505, Error: 0.02842049223964945, Loss: 0.09628546531985262, Time elapsed: 0:07:41
[TEST] Epoch: 32, Accuracy: 0.9450676090964967, Error: 0.05493239090350338, Loss: 0.2174607513961282, Time elapsed: 0:02:00

[TRAIN] Epoch: 33, Accuracy: 0.9727398064348799, Error: 0.027260193565120057, Loss: 0.09112611984094199, Time elapsed: 0:07:41
[TEST] Epoch: 33, Accuracy: 0.9432621389059619, Error: 0.056737861094038104, Loss: 0.23666172858829065, Time elapsed: 0:02:00

[TRAIN] Epoch: 34, Accuracy: 0.973736298237711, Error: 0.026263701762288927, Loss: 0.08803096913541777, Time elapsed: 0:07:41
[TEST] Epoch: 34, Accuracy: 0.9474877074370006, Error: 0.052512292562999385, Loss: 0.2282934338312319, Time elapsed: 0:02:00

[TRAIN] Epoch: 35, Accuracy: 0.9744051762971456, Error: 0.025594823702854336, Loss: 0.08606717061084454, Time elapsed: 0:07:41
[TEST] Epoch: 35, Accuracy: 0.9421097111247695, Error: 0.05789028887523048, Loss: 0.2451157033187008, Time elapsed: 0:02:00

[TRAIN] Epoch: 36, Accuracy: 0.9766029184924307, Error: 0.023397081507569244, Loss: 0.07967019179708251, Time elapsed: 0:07:41
[TEST] Epoch: 36, Accuracy: 0.9493315918869084, Error: 0.05066840811309158, Loss: 0.23107450394521994, Time elapsed: 0:02:00

[TRAIN] Epoch: 37, Accuracy: 0.9759613415782792, Error: 0.02403865842172079, Loss: 0.07826044159259102, Time elapsed: 0:07:41
[TEST] Epoch: 37, Accuracy: 0.95009987707437, Error: 0.049900122925629994, Loss: 0.22022596156406637, Time elapsed: 0:02:00

[TRAIN] Epoch: 38, Accuracy: 0.9770943391075255, Error: 0.02290566089247444, Loss: 0.0740496049610665, Time elapsed: 0:07:41
[TEST] Epoch: 38, Accuracy: 0.948678549477566, Error: 0.05132145052243393, Loss: 0.2377970664319482, Time elapsed: 0:02:00

[TRAIN] Epoch: 39, Accuracy: 0.9774629045688467, Error: 0.022537095431153335, Loss: 0.07301699242542006, Time elapsed: 0:07:41
[TEST] Epoch: 39, Accuracy: 0.9489474492931776, Error: 0.051052550706822374, Loss: 0.2437293503087726, Time elapsed: 0:02:00

[TRAIN] Epoch: 40, Accuracy: 0.978595902098093, Error: 0.021404097901906984, Loss: 0.06895371571585752, Time elapsed: 0:07:41
[TEST] Epoch: 40, Accuracy: 0.944798709280885, Error: 0.055201290719114934, Loss: 0.25537274978922125, Time elapsed: 0:02:00

[TRAIN] Epoch: 41, Accuracy: 0.9788416124056404, Error: 0.021158387594359583, Loss: 0.06784380781770473, Time elapsed: 0:07:41
[TEST] Epoch: 41, Accuracy: 0.9472188076213891, Error: 0.05278119237861094, Loss: 0.25640096007568675, Time elapsed: 0:02:00

[TRAIN] Epoch: 42, Accuracy: 0.9810803063188501, Error: 0.018919693681149926, Loss: 0.06264728505600647, Time elapsed: 0:07:41
[TEST] Epoch: 42, Accuracy: 0.9454133374308543, Error: 0.05458666256914567, Loss: 0.2591025922000958, Time elapsed: 0:02:00

[TRAIN] Epoch: 43, Accuracy: 0.9821860027028134, Error: 0.017813997297186617, Loss: 0.05823473723478322, Time elapsed: 0:07:41
[TEST] Epoch: 43, Accuracy: 0.9459127228027043, Error: 0.054087277197295634, Loss: 0.2616035951634602, Time elapsed: 0:02:00

[TRAIN] Epoch: 44, Accuracy: 0.9821450509848888, Error: 0.017854949015111185, Loss: 0.05778564095813509, Time elapsed: 0:07:41
[TEST] Epoch: 44, Accuracy: 0.9455669944683467, Error: 0.05443300553165335, Loss: 0.26754623365753916, Time elapsed: 0:02:00

[TRAIN] Epoch: 45, Accuracy: 0.9830596393518708, Error: 0.01694036064812919, Loss: 0.053307481731104826, Time elapsed: 0:07:41
[TEST] Epoch: 45, Accuracy: 0.9451828518746158, Error: 0.054817148125384144, Loss: 0.2702525359542368, Time elapsed: 0:02:00

[TRAIN] Epoch: 46, Accuracy: 0.9837285174113054, Error: 0.016271482588694597, Loss: 0.05261369834119435, Time elapsed: 0:07:41
[TEST] Epoch: 46, Accuracy: 0.9434157959434543, Error: 0.05658420405654579, Loss: 0.2919739326341942, Time elapsed: 0:02:00

[TRAIN] Epoch: 47, Accuracy: 0.9837967702745131, Error: 0.016203229725486983, Loss: 0.05230732386712629, Time elapsed: 0:07:41
[TEST] Epoch: 47, Accuracy: 0.9492163491087892, Error: 0.05078365089121082, Loss: 0.2667580046899933, Time elapsed: 0:02:00

[TRAIN] Epoch: 48, Accuracy: 0.984370094325457, Error: 0.015629905674543046, Loss: 0.049495633927453334, Time elapsed: 0:07:41
[TEST] Epoch: 48, Accuracy: 0.9483712354025814, Error: 0.05162876459741856, Loss: 0.2868217928878867, Time elapsed: 0:02:00

[TRAIN] Epoch: 49, Accuracy: 0.9847386597867781, Error: 0.015261340213221945, Loss: 0.04808264272591013, Time elapsed: 0:07:41
[TEST] Epoch: 49, Accuracy: 0.9438767670559312, Error: 0.05612323294406884, Loss: 0.30550933379700523, Time elapsed: 0:02:00

[TRAIN] Epoch: 50, Accuracy: 0.9857488021622507, Error: 0.014251197837749294, Loss: 0.044450735673880463, Time elapsed: 0:07:41
[TEST] Epoch: 50, Accuracy: 0.9412645974185617, Error: 0.05873540258143823, Loss: 0.3013652948858405, Time elapsed: 0:02:00

[TRAIN] Epoch: 51, Accuracy: 0.9916185483981053, Error: 0.008381451601894699, Loss: 0.0273171148068929, Time elapsed: 0:07:41
[TEST] Epoch: 51, Accuracy: 0.9532498463429625, Error: 0.04675015365703749, Loss: 0.26088775552410837, Time elapsed: 0:02:00

[TRAIN] Epoch: 52, Accuracy: 0.9940620009009378, Error: 0.005937999099062206, Loss: 0.019950812374185292, Time elapsed: 0:07:41
[TEST] Epoch: 52, Accuracy: 0.9531346035648433, Error: 0.04686539643515673, Loss: 0.2592563573282484, Time elapsed: 0:02:00

[TRAIN] Epoch: 53, Accuracy: 0.9949083364047122, Error: 0.005091663595287822, Loss: 0.017157328005668115, Time elapsed: 0:07:41
[TEST] Epoch: 53, Accuracy: 0.9546327596803934, Error: 0.045367240319606636, Loss: 0.26033600129830503, Time elapsed: 0:02:00

[TRAIN] Epoch: 54, Accuracy: 0.9957410213358451, Error: 0.004258978664154961, Loss: 0.015039918977115659, Time elapsed: 0:07:40
[TEST] Epoch: 54, Accuracy: 0.9539028887523049, Error: 0.046097111247695145, Loss: 0.2695216736180986, Time elapsed: 0:02:00

[TRAIN] Epoch: 55, Accuracy: 0.9950994444216935, Error: 0.00490055557830651, Loss: 0.01472646638727943, Time elapsed: 0:07:41
[TEST] Epoch: 55, Accuracy: 0.9536339889366933, Error: 0.0463660110633067, Loss: 0.2699524468634124, Time elapsed: 0:02:00

[TRAIN] Epoch: 56, Accuracy: 0.9956727684726374, Error: 0.004327231527362573, Loss: 0.013971790946536042, Time elapsed: 0:07:41
[TEST] Epoch: 56, Accuracy: 0.953518746158574, Error: 0.046481253841425936, Loss: 0.2745705210748595, Time elapsed: 0:02:01

[TRAIN] Epoch: 57, Accuracy: 0.9962733936688644, Error: 0.003726606331135591, Loss: 0.012582848681928254, Time elapsed: 0:07:40
[TEST] Epoch: 57, Accuracy: 0.9531346035648433, Error: 0.04686539643515673, Loss: 0.2800041308189206, Time elapsed: 0:02:00

[TRAIN] Epoch: 58, Accuracy: 0.9965600556943364, Error: 0.003439944305663623, Loss: 0.011585443418250466, Time elapsed: 0:07:41
[TEST] Epoch: 58, Accuracy: 0.9528272894898586, Error: 0.047172710510141366, Loss: 0.27968796997914375, Time elapsed: 0:02:00

[TRAIN] Epoch: 59, Accuracy: 0.9963689476773551, Error: 0.003631052322644935, Loss: 0.011794554617114608, Time elapsed: 0:07:41
[TEST] Epoch: 59, Accuracy: 0.9549016594960049, Error: 0.04509834050399508, Loss: 0.27635582336341963, Time elapsed: 0:02:00

