
[TRAIN] Epoch: 1, Accuracy: 0.1720381670011057, Error: 0.8279618329988943, Loss: 2.388426495423092, Time elapsed: 0:02:33
[TEST] Epoch: 1, Accuracy: 0.15938076213890595, Error: 0.840619237861094, Loss: 2.2570177002339986, Time elapsed: 0:00:38

[TRAIN] Epoch: 2, Accuracy: 0.1787132970228101, Error: 0.8212867029771899, Loss: 2.2579269958873205, Time elapsed: 0:02:32
[TEST] Epoch: 2, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2366061023062698, Time elapsed: 0:00:39

[TRAIN] Epoch: 3, Accuracy: 0.1822487953369644, Error: 0.8177512046630356, Loss: 2.2521281850743664, Time elapsed: 0:02:32
[TEST] Epoch: 3, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2365864167274987, Time elapsed: 0:00:39

[TRAIN] Epoch: 4, Accuracy: 0.18346369630205986, Error: 0.8165363036979402, Loss: 2.2494471051084783, Time elapsed: 0:02:32
[TEST] Epoch: 4, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.242762029427433, Time elapsed: 0:00:39

[TRAIN] Epoch: 5, Accuracy: 0.1852655718907408, Error: 0.8147344281092592, Loss: 2.248968839970841, Time elapsed: 0:02:32
[TEST] Epoch: 5, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2274407503717724, Time elapsed: 0:00:39

[TRAIN] Epoch: 6, Accuracy: 0.18499256043791037, Error: 0.8150074395620897, Loss: 2.24733063291595, Time elapsed: 0:02:32
[TEST] Epoch: 6, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2389836937060883, Time elapsed: 0:00:39

[TRAIN] Epoch: 7, Accuracy: 0.18411892378885295, Error: 0.815881076211147, Loss: 2.2469376441811013, Time elapsed: 0:02:32
[TEST] Epoch: 7, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.235269475144408, Time elapsed: 0:00:39

[TRAIN] Epoch: 8, Accuracy: 0.18456939268602318, Error: 0.8154306073139769, Loss: 2.2472624580708183, Time elapsed: 0:02:32
[TEST] Epoch: 8, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.228376312496183, Time elapsed: 0:00:39

[TRAIN] Epoch: 9, Accuracy: 0.18521096960017472, Error: 0.8147890303998253, Loss: 2.245445725285034, Time elapsed: 0:02:32
[TEST] Epoch: 9, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2265964882023583, Time elapsed: 0:00:39

[TRAIN] Epoch: 10, Accuracy: 0.1854430293350806, Error: 0.8145569706649194, Loss: 2.2454021183326196, Time elapsed: 0:02:33
[TEST] Epoch: 10, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2353976907067747, Time elapsed: 0:00:39

[TRAIN] Epoch: 11, Accuracy: 0.18570239021526952, Error: 0.8142976097847304, Loss: 2.245240874559097, Time elapsed: 0:02:32
[TEST] Epoch: 11, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2284163326739383, Time elapsed: 0:00:39

[TRAIN] Epoch: 12, Accuracy: 0.18646682228319478, Error: 0.8135331777168052, Loss: 2.2440353561268167, Time elapsed: 0:02:32
[TEST] Epoch: 12, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2321592386910427, Time elapsed: 0:00:39

[TRAIN] Epoch: 13, Accuracy: 0.18652142457376086, Error: 0.8134785754262391, Loss: 2.2448697792253025, Time elapsed: 0:02:32
[TEST] Epoch: 13, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2365725453675123, Time elapsed: 0:00:39

[TRAIN] Epoch: 14, Accuracy: 0.18660332800961, Error: 0.81339667199039, Loss: 2.2445375871597792, Time elapsed: 0:02:33
[TEST] Epoch: 14, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.22928225884206, Time elapsed: 0:00:39

[TRAIN] Epoch: 15, Accuracy: 0.1861119073945152, Error: 0.8138880926054848, Loss: 2.2440167570822975, Time elapsed: 0:02:33
[TEST] Epoch: 15, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2275555645239886, Time elapsed: 0:00:39

[TRAIN] Epoch: 16, Accuracy: 0.18615285911243976, Error: 0.8138471408875603, Loss: 2.2437938460700706, Time elapsed: 0:02:33
[TEST] Epoch: 16, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2331984529630056, Time elapsed: 0:00:39

[TRAIN] Epoch: 17, Accuracy: 0.18676713488130828, Error: 0.8132328651186918, Loss: 2.2436021771639196, Time elapsed: 0:02:32
[TEST] Epoch: 17, Accuracy: 0.1958743085433313, Error: 0.8041256914566687, Loss: 2.2307428849131767, Time elapsed: 0:00:39

[TRAIN] Epoch: 18, Accuracy: 0.3041347584531171, Error: 0.6958652415468829, Loss: 1.952219579783734, Time elapsed: 0:02:34
[TEST] Epoch: 18, Accuracy: 0.5520513214505224, Error: 0.44794867854947756, Loss: 1.3217958600226545, Time elapsed: 0:00:39

[TRAIN] Epoch: 19, Accuracy: 0.5977039736816959, Error: 0.4022960263183041, Loss: 1.1858412758550652, Time elapsed: 0:02:34
